idx,m,a,b,n1,n2,n3,invert,vsplit,hsplit,periodicity,pixel_error,attempts
487,5,0.25936736329684795,0.7869905369576164,1.4434900426180912,5.687123920850503,0.9219614153427008,0,0,0,220,0.0,1
204,4,0.7145440080752029,0.9862426382173768,1.7865559532751967,4.9038420278854415,5.102559685218994,0,0,0,240,0.0,1
341,8,0.6665265838598693,0.9834942705282933,2.738292631227148,3.3228867373336994,1.9162192542485021,1,1,0,200,0.0,2
794,7,0.9390107736288732,0.8547406416348328,0.27942704896845083,5.133508345162366,4.406341825108939,0,0,1,240,0.0,4
902,10,0.8700572077611316,0.9012890914343127,0.42915292416251194,4.037210503297307,3.608059449740775,0,0,0,240,0.0,1
44,3,0.821266021957469,0.989217096191921,1.1493653685219272,3.5412850703972882,5.753277883252652,1,0,0,270,0.0,4
316,2,1.0589011692200903,0.39379485802238134,4.874508980326952,1.1456153293633609,1.5861098921783063,0,0,0,290,0.0,4
422,10,0.6250582861232512,0.45268848166685366,2.7638752631201546,4.836704065353179,4.680268231676578,0,1,0,260,0.0,1
853,8,0.6645163682071348,0.9698696953351869,4.019328696726254,5.226091825544366,5.070996291563721,0,0,0,290,0.0,1
836,2,0.6735215202766819,0.4332469839932419,4.093094673778786,0.8473550894403874,3.328990414258711,0,0,1,240,0.0,1
